DATE,LNS12300002
1/01/1948,31.33333333
1/01/1949,31.21666667
1/01/1950,31.90833333
1/01/1951,33.10833333
1/01/1952,33.46666667
1/01/1953,33.33333333
1/01/1954,32.46666667
1/01/1955,33.875
1/01/1956,35.05
1/01/1957,35.13333333
1/01/1958,34.54166667
1/01/1959,34.95
1/01/1960,35.53333333
1/01/1961,35.34166667
1/01/1962,35.55833333
1/01/1963,35.81666667
1/01/1964,36.325
1/01/1965,37.075
1/01/1966,38.29166667
1/01/1967,38.99166667
1/01/1968,39.625
1/01/1969,40.68333333
1/01/1970,40.78333333
1/01/1971,40.35
1/01/1972,40.95833333
1/01/1973,42.04166667
1/01/1974,42.59166667
1/01/1975,42.03333333
1/01/1976,43.225
1/01/1977,44.46666667
1/01/1978,46.375
1/01/1979,47.45
1/01/1980,47.66666667
1/01/1981,47.98333333
1/01/1982,47.68333333
1/01/1983,48.03333333
1/01/1984,49.475
1/01/1985,50.41666667
1/01/1986,51.38333333
1/01/1987,52.50833333
1/01/1988,53.425
1/01/1989,54.31666667
1/01/1990,54.35
1/01/1991,53.69166667
1/01/1992,53.75
1/01/1993,54.1
1/01/1994,55.25
1/01/1995,55.625
1/01/1996,56.05
1/01/1997,56.80833333
1/01/1998,57.1
1/01/1999,57.44166667
1/01/2000,57.49166667
1/01/2001,57
1/01/2002,56.26666667
1/01/2003,56.11666667
1/01/2004,55.96666667
1/01/2005,56.21666667
1/01/2006,56.61666667
1/01/2007,56.63333333
1/01/2008,56.25833333
1/01/2009,54.43333333
1/01/2010,53.56666667
1/01/2011,53.2
1/01/2012,53.13333333
1/01/2013,53.15833333
1/01/2014,53.50833333
1/01/2015,53.74166667
1/01/2016,54.1
1/01/2017,54.575
,
